model_id,feature_set,window,seed,validation_fold,batch_size,dropout,epochs,hidden,lr,patience,weight_decay,pinball_001,failrate_001,pinball_005,failrate_005,pinball_010,failrate_010,pinball_mean,selection_criterion,fit_failures
M3,F3,1500,42,2006-01-01_2007-12-31,128,0.0,300,[16],0.001,30,0.0,0.00020903189611827785,0.0,0.0008520862019692533,0.03,0.0015663581548132426,0.06,0.0008758254176335912,mean pinball over 1/5/10% tails,0
M3,F3,1500,42,2006-01-01_2007-12-31,128,0.0,300,[16],0.001,30,0.0001,0.00020901145666112953,0.0,0.0008517294050731683,0.03,0.0015627530870469125,0.06,0.00087449798292707,mean pinball over 1/5/10% tails,0
M3,F3,1500,42,2006-01-01_2007-12-31,128,0.0,300,[16],0.0003,30,0.0,0.0002316904054682342,0.02,0.0010031427453762636,0.07,0.0018902230246749482,0.11,0.0010416853918398152,mean pinball over 1/5/10% tails,0
M3,F3,1500,42,2006-01-01_2007-12-31,128,0.0,300,[16],0.0003,30,0.0001,0.00023164482677426313,0.02,0.0010040296335031063,0.07,0.001890024398890115,0.11,0.0010418996197224949,mean pinball over 1/5/10% tails,0
M3,F3,1500,42,2006-01-01_2007-12-31,128,0.0,300,[32],0.001,30,0.0,0.00019049271453378552,0.0,0.0008946927255277749,0.04,0.0015793133439876207,0.05,0.000888166261349727,mean pinball over 1/5/10% tails,0
M3,F3,1500,42,2006-01-01_2007-12-31,128,0.0,300,[32],0.001,30,0.0001,0.00019214322884773667,0.0,0.000896008892127056,0.04,0.0015804852304428878,0.05,0.0008895457838058934,mean pinball over 1/5/10% tails,0
M3,F3,1500,42,2006-01-01_2007-12-31,128,0.0,300,[32],0.0003,30,0.0,0.00022169301772561052,0.02,0.0010172400906228874,0.05,0.0018784805898955023,0.14,0.0010391378994146667,mean pinball over 1/5/10% tails,0
M3,F3,1500,42,2006-01-01_2007-12-31,128,0.0,300,[32],0.0003,30,0.0001,0.00022181305249292533,0.02,0.0010169269286305065,0.05,0.001878047848474693,0.14,0.0010389292765327083,mean pinball over 1/5/10% tails,0
M3,F3,1500,42,2006-01-01_2007-12-31,128,0.0,300,"[32, 16]",0.001,30,0.0,0.00020219573435580187,0.0,0.0009023990100535627,0.02,0.001593529533704983,0.05,0.0008993747593714492,mean pinball over 1/5/10% tails,0
M3,F3,1500,42,2006-01-01_2007-12-31,128,0.0,300,"[32, 16]",0.001,30,0.0001,0.00021260840645851952,0.01,0.0009030050809082637,0.02,0.0015967171636812926,0.05,0.0009041102170160253,mean pinball over 1/5/10% tails,0
M3,F3,1500,42,2006-01-01_2007-12-31,128,0.0,300,"[32, 16]",0.0003,30,0.0,0.00024703820701293776,0.02,0.0010148665109549183,0.04,0.0017693924114407832,0.1,0.0010104323764695464,mean pinball over 1/5/10% tails,0
M3,F3,1500,42,2006-01-01_2007-12-31,128,0.0,300,"[32, 16]",0.0003,30,0.0001,0.00021850124574971576,0.01,0.0009319628228341445,0.03,0.0016515494856025289,0.09,0.0009340045180621298,mean pinball over 1/5/10% tails,0
M3,F3,1500,42,2006-01-01_2007-12-31,128,0.0,300,"[32, 32]",0.001,30,0.0,0.00020575249242802906,0.0,0.0008997431972880491,0.03,0.0015589298343437403,0.04,0.0008881418413532729,mean pinball over 1/5/10% tails,0
