model,feature_set,tail,loss_w1000,loss_w1500,norm_w1000,norm_w1500,winner
M0,none,0.01,0.00042188559899892033,0.0003119977240433519,1.1497348032109986,0.8502651967890013,1500
M0,none,0.05,0.0011426187698805983,0.0011120003976515126,1.013580285606549,0.986419714393451,1500
M0,none,0.1,0.001729816687189096,0.0017842493797283344,0.9845100543066945,1.0154899456933053,1000
M1,none,0.01,0.00031799371723192427,0.0002951845345402342,1.0371982904249601,0.9628017095750399,1500
M1,none,0.05,0.0010198951852612138,0.0010014741083571852,1.0091131674762177,0.9908868325237822,1500
M1,none,0.1,0.0015874093819540052,0.0015720899179209394,1.0048486999296604,0.9951513000703395,1500
M1_gauss,none,0.01,0.000345866613804228,0.00030948663640655445,1.0555120118592112,0.9444879881407888,1500
M1_gauss,none,0.05,0.0010213717079579174,0.0009975218742610528,1.0118133188925449,0.9881866811074554,1500
M1_gauss,none,0.1,0.0015812595655279285,0.0015672536667206125,1.0044484166888235,0.9955515833111765,1500
M2,F0,0.01,0.00036017445206968957,0.00031744327013973474,1.063060897803302,0.9369391021966978,1500
M2,F0,0.05,0.001071535601338558,0.0010004957824159917,1.0342851075903305,0.9657148924096695,1500
M2,F0,0.1,0.0016500878732546814,0.0015985241079873684,1.0158725528210355,0.9841274471789646,1500
M2,F1,0.01,0.00037115283372294515,0.0003032253543678356,1.100726091909078,0.8992739080909218,1500
M2,F1,0.05,0.0010371708047583303,0.0009849965539257667,1.025801153701994,0.9741988462980059,1500
M2,F1,0.1,0.0015855893034096913,0.0015789823175440362,1.0020877978624052,0.9979122021375949,1500
M2,F2,0.01,0.00040042385740413994,0.00031112620653858794,1.1254973548463338,0.8745026451536663,1500
M2,F2,0.05,0.0010664374924310661,0.0010087294740895444,1.0278088555150235,0.9721911444849762,1500
M2,F2,0.1,0.0016073408719582242,0.0015972472838972742,1.0031497301899799,0.9968502698100201,1500
M2,F3,0.01,0.00045682380452422445,0.00034514205135164017,1.1392599851406533,0.8607400148593466,1500
M2,F3,0.05,0.001130464394129528,0.001024123004010125,1.0493558025129184,0.950644197487082,1500
M2,F3,0.1,0.0016695610556008613,0.0015883354849129687,1.024931906117277,0.9750680938827229,1500
M4,none,0.01,0.00030688564610554424,0.0002931582076476279,1.0228773919973575,0.9771226080026426,1500
M4,none,0.05,0.0010070452962871288,0.0009894590023791301,1.0088085429717066,0.9911914570282935,1500
M4,none,0.1,0.0015595327520455014,0.0015587955694227535,1.0002364031451316,0.9997635968548685,1500
