model,feature_set,tail,failure_rate,mean_pinball,kupiec_pvalue
M2,F0,0.01,0.01703900037864445,0.00044793246765733723,0.0009537482069259788
M2,F0,0.05,0.054146156758803486,0.0013814237129435184,0.33440570591234675
M2,F0,0.1,0.10374858008330178,0.0021630513701389057,0.5230632555931571
M2,F1,0.01,0.01741764483150322,0.0004474476349316658,0.0005269415581887797
M2,F1,0.05,0.05566073457023855,0.0013204704646018644,0.18952164228571147
M2,F1,0.1,0.1079136690647482,0.002060138452491048,0.18016169409414562
M2,F2,0.01,0.02158273381294964,0.0004532137995549331,2.1643469254682127e-07
M2,F2,0.05,0.0605831124574025,0.0013192747864399063,0.0155739934049233
M2,F2,0.1,0.11207875804619462,0.0020694184385632417,0.0419608902990466
M2,F3,0.01,0.02158273381294964,0.0005197900146293095,2.1643469254682127e-07
M2,F3,0.05,0.06096175691026127,0.0013325530709867633,0.012325901372456937
M2,F3,0.1,0.1124574024990534,0.0020782834574220375,0.03603032525436257
M3,F0,0.01,0.03597122302158273,0.0005098241130025384,2.8833476046647658e-25
M3,F0,0.05,0.06134040136312003,0.0013711196357851692,0.00969749001884999
M3,F0,0.1,0.09844755774327905,0.002209698495097403,0.7898136898784602
M3,F1,0.01,0.03104884513441878,0.00044703615591964367,3.1096748163269378e-18
M3,F1,0.05,0.05679666792881484,0.001318794791684185,0.11639842612504298
M3,F1,0.1,0.09731162438470277,0.002167443805102065,0.6438084817138828
M3,F2,0.01,0.03029155622870125,0.0004496401721494519,3.1448503325661405e-17
M3,F2,0.05,0.06247633472169633,0.0013286855311124388,0.0045578207192223065
M3,F2,0.1,0.09806891329042029,0.00220352218790605,0.740075190616484
M3,F3,0.01,0.03294206739871261,0.00046833457252462097,7.726615530366606e-21
M3,F3,0.05,0.05490344566452102,0.0013453079227937535,0.2546965496055158
M3,F3,0.1,0.09617569102612647,0.002230782327197382,0.5099683606355128
