tail,model_a,model_b,n,dm_stat,dm_pvalue,bootstrap_pvalue,pinball_a,pinball_b,favors,headline,holm_dm_pvalue
0.01,M0,M1,2641,3.8447718271624614,0.00012066466214344208,0.202,0.0006177001585113024,0.00036185473719861454,b,0,
0.01,M0,M2,2641,2.0039468092117043,0.045075758558465,0.123,0.0006177001585113024,0.0005197900146293095,b,0,
0.01,M0,M3,2641,2.406864228819502,0.01609015044958927,0.255,0.0006177001585113024,0.00046833457252462097,b,0,
0.01,M0,M4,2641,4.095114275660412,4.219602051004888e-05,0.187,0.0006177001585113024,0.00034169875625680293,b,0,
0.01,M0,M5,2641,-0.3931437837272241,0.6942132875394478,0.839,0.0006177001585113024,0.0006318256857964194,a,0,
0.01,M1,M2,2641,-1.9827956297901348,0.04739026237993721,0.357,0.00036185473719861454,0.0005197900146293095,a,0,
0.01,M1,M3,2641,-3.238268876656131,0.0012025741486650244,0.023,0.00036185473719861454,0.00046833457252462097,a,1,0.004810296594660098
0.01,M1,M4,2641,2.2649358245279436,0.023516617976191496,0.042,0.00036185473719861454,0.00034169875625680293,b,1,0.07054985392857449
0.01,M1,M5,2641,-2.989926367885526,0.002790447040366215,0.228,0.00036185473719861454,0.0006318256857964194,a,0,
0.01,M2,M3,2641,0.712763558514773,0.4759920790654224,0.636,0.0005197900146293095,0.00046833457252462097,b,1,0.4759920790654224
0.01,M2,M4,2641,2.2050245394516494,0.027452372593337552,0.334,0.0005197900146293095,0.00034169875625680293,b,0,
0.01,M2,M5,2641,-1.7255374482443022,0.08443066108727978,0.28,0.0005197900146293095,0.0006318256857964194,a,0,
0.01,M3,M4,2641,3.429389040595159,0.0006049417285387439,0.022,0.00046833457252462097,0.00034169875625680293,b,0,
0.01,M3,M5,2641,-1.9747279019809139,0.048299034756983376,0.353,0.00046833457252462097,0.0006318256857964194,a,1,0.09659806951396675
0.01,M4,M5,2641,-3.169676411139682,0.0015260878758182523,0.209,0.00034169875625680293,0.0006318256857964194,a,0,
