model,feature_set,tail,regime,n,failure_rate,mean_pinball
M0,none,0.01,crisis_2008_2009,505,0.0594059405940594,0.0014003949762801072
M0,none,0.01,elevated_2010_2012,754,0.002652519893899204,0.0005061271291762153
M0,none,0.01,calm_2013_2014,504,0.0,0.0004799512829802314
M0,none,0.01,stress_2015_2016,504,0.007936507936507936,0.0003366307858402233
M0,none,0.01,calm_2017,251,0.0,0.00025215003949956516
M0,none,0.01,spike_2018,123,0.04065040650406504,0.0005502420943750329
M0,none,0.05,crisis_2008_2009,505,0.15643564356435644,0.0035132647525258727
M0,none,0.05,elevated_2010_2012,754,0.034482758620689655,0.0015108252347668144
M0,none,0.05,calm_2013_2014,504,0.001984126984126984,0.0012015766201379802
M0,none,0.05,stress_2015_2016,504,0.03571428571428571,0.0010932740254763688
M0,none,0.05,calm_2017,251,0.01195219123505976,0.0007665636907166504
M0,none,0.05,spike_2018,123,0.10569105691056911,0.0015516375694170175
M0,none,0.1,crisis_2008_2009,505,0.21782178217821782,0.004780671582075565
M0,none,0.1,elevated_2010_2012,754,0.08488063660477453,0.0023050441564243687
M0,none,0.1,calm_2013_2014,504,0.027777777777777776,0.0017198233940759922
M0,none,0.1,stress_2015_2016,504,0.08928571428571429,0.0017101785466325575
M0,none,0.1,calm_2017,251,0.01593625498007968,0.0011061611096470094
M0,none,0.1,spike_2018,123,0.14634146341463414,0.002294358180949584
M1,none,0.01,crisis_2008_2009,505,0.015841584158415842,0.000565767821923515
M1,none,0.01,elevated_2010_2012,754,0.01856763925729443,0.0003883375239947339
M1,none,0.01,calm_2013_2014,504,0.011904761904761904,0.00023463171330170355
M1,none,0.01,stress_2015_2016,504,0.011904761904761904,0.0003159893479783224
M1,none,0.01,calm_2017,251,0.00796812749003984,0.00018661387982501113
M1,none,0.01,spike_2018,123,0.032520325203252036,0.00042915462647907104
M1,none,0.05,crisis_2008_2009,505,0.07722772277227723,0.0022649000019200026
M1,none,0.05,elevated_2010_2012,754,0.06896551724137931,0.0013333235571989788
M1,none,0.05,calm_2013_2014,504,0.05555555555555555,0.0008896638412915682
M1,none,0.05,stress_2015_2016,504,0.05952380952380952,0.001014164818315251
M1,none,0.05,calm_2017,251,0.02390438247011952,0.0005609898489666507
M1,none,0.05,spike_2018,123,0.08943089430894309,0.0013481785738459265
M1,none,0.1,crisis_2008_2009,505,0.13267326732673268,0.003681650306765641
M1,none,0.1,elevated_2010_2012,754,0.11671087533156499,0.002123098362119533
M1,none,0.1,calm_2013_2014,504,0.10317460317460317,0.0014158772661390301
M1,none,0.1,stress_2015_2016,504,0.12301587301587301,0.0016378057801940413
M1,none,0.1,calm_2017,251,0.055776892430278883,0.0008479236250298173
M1,none,0.1,spike_2018,123,0.13821138211382114,0.0020996851115952647
M2,F0,0.01,crisis_2008_2009,505,0.04356435643564356,0.000930709926134969
M2,F0,0.01,elevated_2010_2012,754,0.011936339522546418,0.0003926312561112754
M2,F0,0.01,calm_2013_2014,504,0.003968253968253968,0.0002822333648012509
M2,F0,0.01,stress_2015_2016,504,0.011904761904761904,0.00030715384111173994
M2,F0,0.01,calm_2017,251,0.00398406374501992,0.0001924576215526579
M2,F0,0.01,spike_2018,123,0.04065040650406504,0.0005819443291634327
M2,F0,0.05,crisis_2008_2009,505,0.10495049504950495,0.002573085425399212
M2,F0,0.05,elevated_2010_2012,754,0.04376657824933687,0.0013627285744076513
M2,F0,0.05,calm_2013_2014,504,0.03373015873015873,0.0009227605217597318
M2,F0,0.05,stress_2015_2016,504,0.04563492063492063,0.001045381085506504
M2,F0,0.05,calm_2017,251,0.01593625498007968,0.000626618694950786
M2,F0,0.05,spike_2018,123,0.10569105691056911,0.0014000803126750514
M2,F0,0.1,crisis_2008_2009,505,0.16237623762376238,0.003985772250442451
M2,F0,0.1,elevated_2010_2012,754,0.09549071618037135,0.002131882485436373
M2,F0,0.1,calm_2013_2014,504,0.07539682539682539,0.0014638670945207723
M2,F0,0.1,stress_2015_2016,504,0.10714285714285714,0.001671415127463082
M2,F0,0.1,calm_2017,251,0.03187250996015936,0.0009402454582179832
M2,F0,0.1,spike_2018,123,0.16260162601626016,0.002245369415868371
M2,F1,0.01,crisis_2008_2009,505,0.0297029702970297,0.0010164973890045247
M2,F1,0.01,elevated_2010_2012,754,0.011936339522546418,0.00036175525684337785
M2,F1,0.01,calm_2013_2014,504,0.015873015873015872,0.00024115168181379232
M2,F1,0.01,stress_2015_2016,504,0.011904761904761904,0.00031493637377954647
M2,F1,0.01,calm_2017,251,0.00796812749003984,0.0001892088827753864
M2,F1,0.01,spike_2018,123,0.04878048780487805,0.0005516646272493736
M2,F1,0.05,crisis_2008_2009,505,0.07326732673267326,0.002389929574456573
M2,F1,0.05,elevated_2010_2012,754,0.046419098143236075,0.0013275997123622853
M2,F1,0.05,calm_2013_2014,504,0.06349206349206349,0.0009125055270186034
M2,F1,0.05,stress_2015_2016,504,0.047619047619047616,0.0010043709482312586
M2,F1,0.05,calm_2017,251,0.03187250996015936,0.0005421673764585679
M2,F1,0.05,spike_2018,123,0.08943089430894309,0.0014410416567053723
M2,F1,0.1,crisis_2008_2009,505,0.12871287128712872,0.003681740058564113
M2,F1,0.1,elevated_2010_2012,754,0.09151193633952255,0.0020844894229646044
M2,F1,0.1,calm_2013_2014,504,0.11507936507936507,0.0014218531910330549
M2,F1,0.1,stress_2015_2016,504,0.1111111111111111,0.0016245021755290517
M2,F1,0.1,calm_2017,251,0.07569721115537849,0.0008433460476142092
M2,F1,0.1,spike_2018,123,0.14634146341463414,0.002136576714147977
M2,F2,0.01,crisis_2008_2009,505,0.027722772277227723,0.000997764839476036
M2,F2,0.01,elevated_2010_2012,754,0.023872679045092837,0.0003888850286239934
M2,F2,0.01,calm_2013_2014,504,0.01984126984126984,0.00026549991076187535
M2,F2,0.01,stress_2015_2016,504,0.017857142857142856,0.00031345557676754434
M2,F2,0.01,calm_2017,251,0.01195219123505976,0.0001918645765766361
M2,F2,0.01,spike_2018,123,0.024390243902439025,0.0004869554038302917
M2,F2,0.05,crisis_2008_2009,505,0.07722772277227723,0.002377358262766448
M2,F2,0.05,elevated_2010_2012,754,0.06763925729442971,0.001294022123713022
M2,F2,0.05,calm_2013_2014,504,0.05952380952380952,0.0009571972917867553
M2,F2,0.05,stress_2015_2016,504,0.04365079365079365,0.0010117101386659163
M2,F2,0.05,calm_2017,251,0.027888446215139442,0.0005619189596686992
M2,F2,0.05,spike_2018,123,0.08943089430894309,0.001419309782001039
M2,F2,0.1,crisis_2008_2009,505,0.13465346534653466,0.003693136041168932
M2,F2,0.1,elevated_2010_2012,754,0.11671087533156499,0.00207354116357418
M2,F2,0.1,calm_2013_2014,504,0.1111111111111111,0.0014465416650244305
M2,F2,0.1,stress_2015_2016,504,0.10912698412698413,0.001638118662777742
M2,F2,0.1,calm_2017,251,0.05976095617529881,0.0008672919308709529
M2,F2,0.1,spike_2018,123,0.11382113821138211,0.0021503355956046712
M2,F3,0.01,crisis_2008_2009,505,0.031683168316831684,0.0013026943712027529
M2,F3,0.01,elevated_2010_2012,754,0.023872679045092837,0.00038079339031589894
M2,F3,0.01,calm_2013_2014,504,0.015873015873015872,0.0002382545306776546
M2,F3,0.01,stress_2015_2016,504,0.015873015873015872,0.0003954911992065351
M2,F3,0.01,calm_2017,251,0.00796812749003984,0.0001981354258734392
M2,F3,0.01,spike_2018,123,0.04065040650406504,0.0004768025619883209
M2,F3,0.05,crisis_2008_2009,505,0.07722772277227723,0.002452609738003931
M2,F3,0.05,elevated_2010_2012,754,0.06631299734748011,0.0012963536379622296
M2,F3,0.05,calm_2013_2014,504,0.057539682539682536,0.0009418231712249092
M2,F3,0.05,stress_2015_2016,504,0.0496031746031746,0.0010469612299204675
M2,F3,0.05,calm_2017,251,0.02390438247011952,0.000567940072525769
M2,F3,0.05,spike_2018,123,0.0975609756097561,0.0012874292957666422
M2,F3,0.1,crisis_2008_2009,505,0.12673267326732673,0.0037254796209733577
M2,F3,0.1,elevated_2010_2012,754,0.11936339522546419,0.0020765936558964555
M2,F3,0.1,calm_2013_2014,504,0.1111111111111111,0.0014492001764813457
M2,F3,0.1,stress_2015_2016,504,0.10714285714285714,0.0016482485120709843
M2,F3,0.1,calm_2017,251,0.055776892430278883,0.0008564898191109057
M2,F3,0.1,spike_2018,123,0.15447154471544716,0.002158818717779817
M3,F0,0.01,crisis_2008_2009,505,0.08712871287128712,0.0011388915032695423
M3,F0,0.01,elevated_2010_2012,754,0.021220159151193633,0.0004376666036618748
M3,F0,0.01,calm_2013_2014,504,0.00992063492063492,0.00025218570324541203
M3,F0,0.01,stress_2015_2016,504,0.03571428571428571,0.00038396718346798525
M3,F0,0.01,calm_2017,251,0.0199203187250996,0.000186412795414419
M3,F0,0.01,spike_2018,123,0.056910569105691054,0.0006007641266256915
M3,F0,0.05,crisis_2008_2009,505,0.100990099009901,0.0024275597697545315
M3,F0,0.05,elevated_2010_2012,754,0.05702917771883289,0.001370916550090812
M3,F0,0.05,calm_2013_2014,504,0.03373015873015873,0.0009520296419507165
M3,F0,0.05,stress_2015_2016,504,0.051587301587301584,0.0011068868425493765
M3,F0,0.05,calm_2017,251,0.043824701195219126,0.0006456138857744552
M3,F0,0.05,spike_2018,123,0.11382113821138211,0.0013154081471275327
M3,F0,0.1,crisis_2008_2009,505,0.1306930693069307,0.003854899531824997
M3,F0,0.1,elevated_2010_2012,754,0.08753315649867374,0.002227276213107409
M3,F0,0.1,calm_2013_2014,504,0.07936507936507936,0.0015041903325185538
M3,F0,0.1,stress_2015_2016,504,0.10515873015873016,0.0018147347160031772
M3,F0,0.1,calm_2017,251,0.05976095617529881,0.001090385148452707
M3,F0,0.1,spike_2018,123,0.16260162601626016,0.0021406365900898316
M3,F1,0.01,crisis_2008_2009,505,0.055445544554455446,0.0008523982222058118
M3,F1,0.01,elevated_2010_2012,754,0.033156498673740056,0.00041443586060184765
M3,F1,0.01,calm_2013_2014,504,0.011904761904761904,0.00024315225711054984
M3,F1,0.01,stress_2015_2016,504,0.025793650793650792,0.0003381684011679082
M3,F1,0.01,calm_2017,251,0.00796812749003984,0.00016784437529903534
M3,F1,0.01,spike_2018,123,0.06504065040650407,0.0008338389975906516
M3,F1,0.05,crisis_2008_2009,505,0.07920792079207921,0.002181526553687331
M3,F1,0.05,elevated_2010_2012,754,0.05570291777188329,0.0013645406366965499
M3,F1,0.05,calm_2013_2014,504,0.037698412698412696,0.0008962261299881476
M3,F1,0.05,stress_2015_2016,504,0.057539682539682536,0.0010380288220531953
M3,F1,0.05,calm_2017,251,0.02390438247011952,0.0007034816661169416
M3,F1,0.05,spike_2018,123,0.11382113821138211,0.0016338544807515682
M3,F1,0.1,crisis_2008_2009,505,0.10297029702970296,0.0037114848545248325
M3,F1,0.1,elevated_2010_2012,754,0.09283819628647215,0.0022012316359062666
M3,F1,0.1,calm_2013_2014,504,0.09325396825396826,0.0014468251834863079
M3,F1,0.1,stress_2015_2016,504,0.10317460317460317,0.0016920883867427422
M3,F1,0.1,calm_2017,251,0.06772908366533864,0.001241505955016926
M3,F1,0.1,spike_2018,123,0.15447154471544716,0.002411058131394291
M3,F2,0.01,crisis_2008_2009,505,0.053465346534653464,0.0008609884161092659
M3,F2,0.01,elevated_2010_2012,754,0.026525198938992044,0.0003784553619655939
M3,F2,0.01,calm_2013_2014,504,0.00992063492063492,0.0002296590839469565
M3,F2,0.01,stress_2015_2016,504,0.031746031746031744,0.00037539531368334047
M3,F2,0.01,calm_2017,251,0.01195219123505976,0.00016929699542199563
M3,F2,0.01,spike_2018,123,0.07317073170731707,0.0009748312140884141
M3,F2,0.05,crisis_2008_2009,505,0.07920792079207921,0.0022148692819903694
M3,F2,0.05,elevated_2010_2012,754,0.05968169761273209,0.0013061255354283503
M3,F2,0.05,calm_2013_2014,504,0.04365079365079365,0.0008792318613077179
