model,feature_set,tail,failure_rate,mean_pinball,kupiec_pvalue
M2,F0,0.01,0.01703900037864445,0.00044793246765733723,0.0009537482069259788
M2,F0,0.05,0.054146156758803486,0.0013814237129435184,0.33440570591234675
M2,F0,0.1,0.10374858008330178,0.0021630513701389057,0.5230632555931571
M2,F1,0.01,0.01741764483150322,0.0004474476349316658,0.0005269415581887797
M2,F1,0.05,0.05566073457023855,0.0013204704646018644,0.18952164228571147
M2,F1,0.1,0.1079136690647482,0.002060138452491048,0.18016169409414562
M2,F2,0.01,0.02158273381294964,0.0004532137995549331,2.1643469254682127e-07
M2,F2,0.05,0.0605831124574025,0.0013192747864399063,0.0155739934049233
M2,F2,0.1,0.11207875804619462,0.0020694184385632417,0.0419608902990466
M2,F3,0.01,0.02158273381294964,0.0005197900146293095,2.1643469254682127e-07
M2,F3,0.05,0.06096175691026127,0.0013325530709867633,0.012325901372456937
M2,F3,0.1,0.1124574024990534,0.0020782834574220375,0.03603032525436257
M3,F0,0.01,0.026505111700113593,0.0005005460822103937,1.52485762423566e-12
M3,F0,0.05,0.05452480121166225,0.0013661700321580717,0.29268833609010414
M3,F0,0.1,0.10261264672472548,0.0022062465867560667,0.6557134324803795
M3,F1,0.01,0.03142748958727755,0.00045941977606349415,9.59897704689358e-19
M3,F1,0.05,0.05452480121166225,0.0013384143175354925,0.29268833609010414
M3,F1,0.1,0.09655433547898523,0.002218900832041936,0.5529745248679728
M3,F2,0.01,0.027262400605831124,0.0004095525467848704,1.9639220198905215e-13
M3,F2,0.05,0.05793260128739114,0.0013009403196256593,0.06777292452124392
M3,F2,0.1,0.09882620219613783,0.002186099548431988,0.8403658020616217
M3,F3,0.01,0.023097311624384703,0.0004253425388732767,7.465291993819434e-09
M3,F3,0.05,0.05755395683453238,0.0013096728427857698,0.08164641640969644
M3,F3,0.1,0.096932979931844,0.002188779008996256,0.5976334693493908
