tail,model_a,model_b,n,dm_stat,dm_pvalue,bootstrap_pvalue,pinball_a,pinball_b,favors,headline,holm_dm_pvalue
0.01,M0,M1,2641,3.8447718271624614,0.00012066466214344208,0.202,0.0006177001585113024,0.00036185473719861454,b,0,
0.01,M0,M2,2641,2.0039468092117043,0.045075758558465,0.123,0.0006177001585113024,0.0005197900146293095,b,0,
0.01,M0,M3,2641,3.339858550955802,0.000838210709218041,0.209,0.0006177001585113024,0.0004253425388732767,b,0,
0.01,M0,M4,2641,4.095114275660412,4.219602051004888e-05,0.187,0.0006177001585113024,0.00034169875625680293,b,0,
0.01,M0,M5,2641,-1.360427468228259,0.17369469106974578,0.479,0.0006177001585113024,0.0006787858325653253,a,0,
0.01,M1,M2,2641,-1.9827956297901348,0.04739026237993721,0.357,0.00036185473719861454,0.0005197900146293095,a,0,
0.01,M1,M3,2641,-2.058682552778627,0.03952465867733902,0.09,0.00036185473719861454,0.0004253425388732767,a,1,0.07904931735467804
0.01,M1,M4,2641,2.2649358245279436,0.023516617976191496,0.042,0.00036185473719861454,0.00034169875625680293,b,1,0.07054985392857449
0.01,M1,M5,2641,-3.224335997913083,0.0012626515645046098,0.208,0.00036185473719861454,0.0006787858325653253,a,0,
0.01,M2,M3,2641,1.3397267280819736,0.18033420465978123,0.472,0.0005197900146293095,0.0004253425388732767,b,1,0.18033420465978123
0.01,M2,M4,2641,2.2050245394516494,0.027452372593337552,0.334,0.0005197900146293095,0.00034169875625680293,b,0,
0.01,M2,M5,2641,-2.27395498629931,0.022968693111587727,0.217,0.0005197900146293095,0.0006787858325653253,a,0,
0.01,M3,M4,2641,2.4668984065726036,0.013628901943406945,0.058,0.0004253425388732767,0.00034169875625680293,b,0,
0.01,M3,M5,2641,-2.878536938665185,0.003995244892507001,0.227,0.0004253425388732767,0.0006787858325653253,a,1,0.015980979570028003
0.01,M4,M5,2641,-3.361884940975639,0.0007741237287085943,0.191,0.00034169875625680293,0.0006787858325653253,a,0,
