experiment_id,model,feature_set,tail,n_forecasts,n_violations,expected_violations,failure_rate,kupiec_lr,kupiec_pvalue,christoffersen_ind_lr,christoffersen_ind_pvalue,conditional_coverage_lr,conditional_coverage_pvalue,dq_stat,dq_pvalue,mean_pinball,crossing_rate,n_runs,max_run,seed
rob-M3-F3-s7,M3,F3,0.01,2641,98,26.41,0.03710715638015903,115.79839460745418,5.261555765070537e-27,4.301841343250771,0.03807113186629247,120.10023595070496,8.328468081515729e-27,13.424961754381595,0.03676252539574818,0.0004634029097570933,0.0,90,3,7
rob-M3-F3-s7,M3,F3,0.05,2641,158,132.05,0.05982582355168497,5.064278888261562,0.024423864760832067,8.720399514109886,0.0031466907928561225,13.784678402371448,0.001015535518503501,23.67871948530655,0.0005982940328750872,0.0013144920157263141,0.0,139,3,7
rob-M3-F3-s7,M3,F3,0.1,2641,263,264.1,0.09958349110185535,0.005096959999453254,0.9430849830918088,10.313221095438621,0.0013208054829942685,10.318318055438073,0.005746530326868433,35.52104210819075,3.4150392466894266e-06,0.0021864410657698513,0.0,221,6,7
rob-M3-F3-s2026,M3,F3,0.01,2641,95,26.41,0.03597122302158273,107.86079541997273,2.8833476046647658e-25,14.6645275422444,0.00012844085899362524,122.52532296221713,2.4772176864013867e-27,32.19421067599284,1.4976638537956123e-05,0.00048309708740475654,0.0,83,3,2026
rob-M3-F3-s2026,M3,F3,0.05,2641,149,132.05,0.05641802347595608,2.2029386231371717,0.13774791978213893,20.330555621674876,6.5151795321153885e-06,22.533494244812047,1.2791276761106381e-05,44.970735740088045,4.743295985915751e-08,0.0013456396117068855,0.0,126,6,2026
rob-M3-F3-s2026,M3,F3,0.1,2641,251,264.1,0.09503975766755017,0.7328769622830933,0.3919522396121904,19.081790746362003,1.2523408866773868e-05,19.814667708645096,4.980805428788431e-05,56.025729111565646,2.8763012163854257e-10,0.0022309365292401593,0.0,206,7,2026
rob-M5-F3-s7,M5,F3,0.01,2641,105,26.41,0.03975766755017039,135.05200979178102,3.216325016750652e-31,13.500479871942503,0.00023850245473209036,148.55248966372352,5.523784575904983e-33,149.34529014568236,1.0641576321300554e-29,0.0006964259523218921,0.0,92,3,7
rob-M5-F3-s7,M5,F3,0.05,2641,187,132.05,0.07080651268458917,21.43743994281901,3.655627766723807e-06,3.525665976078699,0.06042554504872293,24.96310591889771,3.7960368888255722e-06,53.28383556498959,1.0285762359533894e-09,0.0014757888561062035,0.0,167,3,7
rob-M5-F3-s7,M5,F3,0.1,2641,334,264.1,0.12646724725482772,19.131275133915892,1.2202878826710881e-05,1.7841675546519582,0.18163840635139256,20.91544268856785,2.8725614432756678e-05,34.625752458350775,5.092014008548178e-06,0.002238093258490719,0.0,284,5,7
rob-M5-F3-s2026,M5,F3,0.01,2641,114,26.41,0.04316546762589928,161.22753802930774,6.1017199550563e-37,17.94555227982039,2.2731497634442147e-05,179.17309030912813,1.2389614299811201e-39,134.3460003529247,1.561079226121366e-26,0.0007317527603821008,0.0,98,3,2026
rob-M5-F3-s2026,M5,F3,0.05,2641,182,132.05,0.06891329042029534,17.881788333362252,2.350597637733847e-05,4.433749245298259,0.03523502770386253,22.31553757866051,1.426404119553533e-05,46.819094620998136,2.033201951395703e-08,0.0014894104099435908,0.0,162,3,2026
rob-M5-F3-s2026,M5,F3,0.1,2641,322,264.1,0.12192351382052254,13.278086277466016,0.0002685264639431746,3.57461716013313,0.05866897079816871,16.852703437599146,0.00021901907777817012,34.063930157559625,6.538848680620123e-06,0.00223365372728036,0.0,272,3,2026
primary-M3-F3-s42,M3,F3,0.01,2641,61,26.41,0.023097311624384703,33.40964241512779,7.465291993819434e-09,3.3948173975247755,0.06540160443598103,36.80445981265257,1.0186221060577211e-08,14.508656848436427,0.02444254896922768,0.0004253425388732767,0.0,57,3,42
primary-M3-F3-s42,M3,F3,0.05,2641,152,132.05,0.05755395683453238,3.0318193913289875,0.08164641640969644,5.579248716301208,0.018174517577718593,8.611068107630196,0.013493677267346021,21.122486783566615,0.0017439196144360461,0.0013096728427857698,0.0,136,3,42
primary-M3-F3-s42,M3,F3,0.1,2641,256,264.1,0.096932979931844,0.27857996891303216,0.5976334693493908,9.95745632597118,0.0016019924130149842,10.236036294884212,0.005987878235154156,41.587167986365955,2.218206377965618e-07,0.002188779008996256,0.0,216,6,42
primary-M5-F3-s42,M5,F3,0.01,2641,96,26.41,0.0363498674744415,110.48511374414016,7.671936083578768e-26,14.260869116566596,0.00015913911516366792,124.74598286070676,8.161199644926133e-28,108.64335846481968,3.920099178970513e-21,0.0006787858325653253,0.0,84,3,42
primary-M5-F3-s42,M5,F3,0.05,2641,178,132.05,0.06739871260886028,15.24936983059466,9.420818340632825e-05,6.530517673179702,0.010603909151920258,21.77988750377436,1.8644791036332404e-05,70.16515202346434,3.782068109163254e-13,0.0015024598683786234,0.0,157,3,42
primary-M5-F3-s42,M5,F3,0.1,2641,357,264.1,0.13517606967057932,33.084488664223954,8.823986640404907e-09,4.237878379445647,0.03953153840678827,37.3223670436696,7.862324613837395e-09,31.404444386591493,2.1217005694480674e-05,0.002243789077597714,0.0,296,5,42
