model,feature_set,tail,failure_rate,mean_pinball,kupiec_pvalue
M2,F0,0.01,0.017045454545454544,0.0004480613582665929,0.0009464261157348418
M2,F0,0.05,0.05416666666666667,0.0013819158425756462,0.3321413970068805
M2,F0,0.1,0.10340909090909091,0.0021636047025983245,0.5612619795862984
M2,F1,0.01,0.017424242424242425,0.00044757270720235183,0.000522704369928891
M2,F1,0.05,0.05568181818181818,0.0013208398599200396,0.18798903944746598
M2,F1,0.1,0.10795454545454546,0.0020609090769144757,0.1780292237003865
M2,F2,0.01,0.02159090909090909,0.0004533309637881859,2.13813883434319e-07
M2,F2,0.05,0.06060606060606061,0.0013196764735025478,0.015376792735782232
M2,F2,0.1,0.11212121212121212,0.0020701355120376543,0.041295382319060936
M2,F3,0.01,0.02159090909090909,0.0005199378773741334,2.13813883434319e-07
M2,F3,0.05,0.06098484848484848,0.0013329402573576726,0.012165328220630803
M2,F3,0.1,0.1125,0.0020790532617353612,0.03544531899450024
M3,F0,0.01,0.008333333333333333,0.0018314584688728728,0.375538851291233
M3,F0,0.05,0.055303030303030305,0.0038707819514595754,0.21864111241487807
M3,F0,0.1,0.12083333333333333,0.006407425149226308,0.0005264730671536028
M3,F1,0.01,0.007575757575757576,0.0016081935088015516,0.19093482582213359
M3,F1,0.05,0.06628787878787878,0.0033026840783311143,0.0002468533893996392
M3,F1,0.1,0.12121212121212122,0.005219514749765588,0.00041835678656809537
M3,F2,0.01,0.006818181818181818,0.00170635594636988,0.08127359469201663
M3,F2,0.05,0.08068181818181819,0.0034364979983096807,2.5677226280183e-11
M3,F2,0.1,0.1268939393939394,0.004563642494812945,8.944047320410881e-06
M3,F3,0.01,0.009848484848484848,0.0010381160253251616,0.9374789144488718
M3,F3,0.05,0.06742424242424243,0.0025923845610487206,9.238090318083514e-05
M3,F3,0.1,0.1268939393939394,0.004246206169029181,8.944047320410881e-06
