tail,model_a,model_b,n,dm_stat,dm_pvalue,bootstrap_pvalue,pinball_a,pinball_b,favors
0.01,M0,M1,2640,3.7683886748694397,0.0001643047319466636,0.194,0.000617877340757711,0.000364384530500502,b
0.01,M0,M2,2640,2.003792902126622,0.04509224948838273,0.117,0.000617877340757711,0.0005199378773741334,b
0.01,M0,M3,2640,-4.574546209164638,4.772532693442592e-06,0.13,0.000617877340757711,0.0010381160253251616,a
0.01,M0,M4,2640,3.9258326285656855,8.643024067212644e-05,0.181,0.000617877340757711,0.000350715956329661,b
0.01,M0,M5,2640,1.2482903216487062,0.2119247572330778,0.56,0.000617877340757711,0.0005333866023290846,b
0.01,M1,M2,2640,-1.9092563870676216,0.056229025463143144,0.38,0.000364384530500502,0.0005199378773741334,a
0.01,M1,M3,2640,-5.086536964015048,3.64660674325531e-07,0.153,0.000364384530500502,0.0010381160253251616,a
0.01,M1,M4,2640,2.0894999403464287,0.03666274331417667,0.067,0.000364384530500502,0.000350715956329661,b
0.01,M1,M5,2640,-9.871390538020046,5.539133408777324e-23,0.001,0.000364384530500502,0.0005333866023290846,a
0.01,M2,M3,2640,-4.791755723891501,1.6532812072352082e-06,0.115,0.0005199378773741334,0.0010381160253251616,a
0.01,M2,M4,2640,2.0635589275512616,0.03905955522396757,0.356,0.0005199378773741334,0.000350715956329661,b
0.01,M2,M5,2640,-0.1645559855086117,0.8692934772975109,0.906,0.0005199378773741334,0.0005333866023290846,a
0.01,M3,M4,2640,5.167780975775665,2.368896809961831e-07,0.149,0.0010381160253251616,0.000350715956329661,b
0.01,M3,M5,2640,3.9057470485118917,9.393473411013771e-05,0.21,0.0010381160253251616,0.0005333866023290846,b
0.01,M4,M5,2640,-10.888150225969598,1.31279596214449e-27,0.001,0.000350715956329661,0.0005333866023290846,a
0.05,M0,M1,2640,4.344456732836089,1.3962075761015513e-05,0.099,0.0016867668694487891,0.0012989058584917319,b
0.05,M0,M2,2640,4.791178806379856,1.6580428096338127e-06,0.038,0.0016867668694487891,0.0013329402573576726,b
0.05,M0,M3,2640,-3.9423870143661284,8.067465816295626e-05,0.121,0.0016867668694487891,0.0025923845610487206,a
0.05,M0,M4,2640,4.5717422276597794,4.836857289659532e-06,0.071,0.0016867668694487891,0.0012638250537463807,b
0.05,M0,M5,2640,3.5849436406030875,0.0003371510041518957,0.07,0.0016867668694487891,0.0013687391857868899,b
0.05,M1,M2,2640,-0.8104401090779656,0.41768727351181256,0.568,0.0012989058584917319,0.0013329402573576726,a
0.05,M1,M3,2640,-4.745768491801528,2.0771618084133565e-06,0.105,0.0012989058584917319,0.0025923845610487206,a
0.05,M1,M4,2640,3.0994451694142087,0.0019388346078077485,0.007,0.0012989058584917319,0.0012638250537463807,b
0.05,M1,M5,2640,-1.582611997679618,0.11350992722816436,0.195,0.0012989058584917319,0.0013687391857868899,a
0.05,M2,M3,2640,-4.79692075701561,1.6112330493605322e-06,0.1,0.0013329402573576726,0.0025923845610487206,a
0.05,M2,M4,2640,1.5817573688045705,0.11370497057349206,0.328,0.0013329402573576726,0.0012638250537463807,b
0.05,M2,M5,2640,-0.7365134550679538,0.46141828224229653,0.493,0.0013329402573576726,0.0013687391857868899,a
0.05,M3,M4,2640,4.854533715466067,1.2067033922798792e-06,0.101,0.0025923845610487206,0.0012638250537463807,b
0.05,M3,M5,2640,4.718073825883056,2.380881012912965e-06,0.106,0.0025923845610487206,0.0013687391857868899,b
0.05,M4,M5,2640,-2.3117256307952885,0.020792808002750802,0.092,0.0012638250537463807,0.0013687391857868899,a
0.1,M0,M1,2640,4.329321899846925,1.4956917436912051e-05,0.06,0.00243928698112899,0.002084213997819182,b
0.1,M0,M2,2640,4.910281952584178,9.09455325950001e-07,0.03,0.00243928698112899,0.0020790532617353612,b
0.1,M0,M3,2640,-4.299088112921403,1.7150228395418138e-05,0.11,0.00243928698112899,0.004246206169029181,a
0.1,M0,M4,2640,4.5522674918579975,5.307079850730303e-06,0.041,0.00243928698112899,0.002051868781227378,b
0.1,M0,M5,2640,2.1835091120870156,0.028998338663272494,0.11,0.00243928698112899,0.002254316037629862,b
0.1,M1,M2,2640,0.14137250907223614,0.8875756707120818,0.913,0.002084213997819182,0.0020790532617353612,b
0.1,M1,M3,2640,-4.76359310698843,1.9017579903132055e-06,0.097,0.002084213997819182,0.004246206169029181,a
0.1,M1,M4,2640,2.974884978884389,0.002930984239226275,0.006,0.002084213997819182,0.002051868781227378,b
0.1,M1,M5,2640,-2.86513809988694,0.004168274170155867,0.051,0.002084213997819182,0.002254316037629862,a
0.1,M2,M3,2640,-4.849241269829361,1.239346046463482e-06,0.097,0.0020790532617353612,0.004246206169029181,a
0.1,M2,M4,2640,0.7424538788337504,0.45781238580047956,0.539,0.0020790532617353612,0.002051868781227378,b
0.1,M2,M5,2640,-3.358397935182975,0.0007839566623462049,0.017,0.0020790532617353612,0.002254316037629862,a
0.1,M3,M4,2640,4.823245284731522,1.4124110259785171e-06,0.096,0.004246206169029181,0.002051868781227378,b
0.1,M3,M5,2640,4.673308530544156,2.9638601168932427e-06,0.102,0.004246206169029181,0.002254316037629862,b
0.1,M4,M5,2640,-3.388226557023156,0.0007034613212610919,0.029,0.002051868781227378,0.002254316037629862,a
