experiment_id,model,feature_set,tail,n_forecasts,n_violations,expected_violations,failure_rate,kupiec_lr,kupiec_pvalue,christoffersen_ind_lr,christoffersen_ind_pvalue,conditional_coverage_lr,conditional_coverage_pvalue,dq_stat,dq_pvalue,mean_pinball,crossing_rate,n_runs,max_run
final-M0-none-w1500-s42,M0,none,0.01,2640,41,26.400000000000002,0.01553030303030303,6.978770932633214,0.008248223575759963,22.967485851783238,1.647646530397039e-06,29.946256784416452,3.142338471065701e-07,224.44271454761085,1.1742062283963121e-45,0.000617877340757711,0.0,34,2
final-M0-none-w1500-s42,M0,none,0.05,2640,140,132.0,0.05303030303030303,0.5008855238260246,0.4791112889276097,17.008870276164316,3.720559747100492e-05,17.50975579999034,0.00015769024876430922,150.4662047354986,6.1661019590532695e-30,0.0016867668694487891,0.0,120,3
final-M0-none-w1500-s42,M0,none,0.1,2640,254,264.0,0.09621212121212121,0.42569186774252543,0.5141104904544129,12.032452108986718,0.0005228225118152467,12.458143976729243,0.001971280419228993,142.49703356453972,2.9776482012899635e-28,0.00243928698112899,0.0,213,7
final-M1-none-w1500-s42,M1,none,0.01,2640,20,26.400000000000002,0.007575757575757576,1.7103896298674464,0.19093482582213359,0.3054630682211439,0.5804776648139789,2.0158526980885902,0.3649750262241111,25.218084052551113,0.0003111188745560092,0.000364384530500502,0.0,20,1
final-M1-none-w1500-s42,M1,none,0.05,2640,113,132.0,0.0428030303030303,3.0199898056943297,0.08224398313530773,0.16780326101945775,0.682071544057248,3.1877930667137875,0.20313255487543122,14.658295535315498,0.023087565680352418,0.0012989058584917319,0.0,109,3
final-M1-none-w1500-s42,M1,none,0.1,2640,215,264.0,0.08143939393939394,10.719883753861552,0.0010599033094703526,2.2740698441116365,0.1315540310873778,12.993953597973189,0.00150799126932322,11.75572797967801,0.06764540667748861,0.002084213997819182,0.0,203,3
final-M2-F0-w1500-s42,M2,F0,0.01,2640,45,26.400000000000002,0.017045454545454544,10.929547440761475,0.0009464261157348418,7.232224211954872,0.007160643697401437,18.161771652716347,0.00011382073737741896,23.97143079092143,0.0005286150788330746,0.0004480613582665929,0.006060606060606061,41,2
final-M2-F0-w1500-s42,M2,F0,0.05,2640,143,132.0,0.05416666666666667,0.9405306982790798,0.3321413970068805,0.6760683937045542,0.41094385510522513,1.616599091983634,0.44561517043273347,16.6238086408729,0.010769924762569279,0.0013819158425756462,0.006060606060606061,133,3
final-M2-F0-w1500-s42,M2,F0,0.1,2640,273,264.0,0.10340909090909091,0.33752388797599764,0.5612619795862984,0.6020976496654384,0.4377787951112162,0.9396215376414361,0.6251205493898656,9.81108829431192,0.13283625648531638,0.0021636047025983245,0.006060606060606061,241,4
final-M2-F1-w1500-s42,M2,F1,0.01,2640,46,26.400000000000002,0.017424242424242425,12.032873353463344,0.000522704369928891,1.3243753048141684,0.2498083273159058,13.357248658277513,0.001257506698533757,42.355617582620184,1.5641696430592762e-07,0.00044757270720235183,0.020075757575757577,44,2
final-M2-F1-w1500-s42,M2,F1,0.05,2640,147,132.0,0.05568181818181818,1.7333075814980639,0.18798903944746598,8.389902738580076,0.0037731109840032917,10.12321032007814,0.00633538204477125,11.354883468037116,0.07800835155222537,0.0013208398599200396,0.020075757575757577,130,3
final-M2-F1-w1500-s42,M2,F1,0.1,2640,285,264.0,0.10795454545454546,1.8139992689284057,0.1780292237003865,1.0684440411496325,0.30129716467667045,2.8824433100780382,0.2366384914202245,5.799416516357079,0.44603070268836575,0.0020609090769144757,0.020075757575757577,249,4
