window,model,feature_set,tail,n,failure_rate,abs_coverage_gap,mean_pinball
1000,M0,none,0.01,499,0.03006012024048096,0.020060120240480962,0.00042118797963616625
1000,M0,none,0.05,499,0.07414829659318638,0.024148296593186375,0.00114083401957229
1000,M0,none,0.1,499,0.09418837675350701,0.0058116232464929946,0.0017333793155651853
1000,M1,none,0.01,499,0.026052104208416832,0.01605210420841683,0.000288441074076941
1000,M1,none,0.05,499,0.06012024048096192,0.010120240480961919,0.0009963620741747178
1000,M1,none,0.1,499,0.09218436873747494,0.00781563126252506,0.0015669282385532253
1000,M1_gauss,none,0.01,499,0.036072144288577156,0.026072144288577154,0.00034537766305331425
1000,M1_gauss,none,0.05,499,0.06813627254509018,0.018136272545090176,0.0010196520414476663
1000,M1_gauss,none,0.1,499,0.11022044088176353,0.01022044088176352,0.001578857939400944
1000,M2,F0,0.01,499,0.03807615230460922,0.02807615230460922,0.0003595663667080861
1000,M2,F0,0.05,499,0.06613226452905811,0.01613226452905811,0.001069416306019383
1000,M2,F0,0.1,499,0.11022044088176353,0.01022044088176352,0.0016471484238007987
1000,M2,F1,0.01,499,0.04008016032064128,0.03008016032064128,0.0003708581510143263
1000,M2,F1,0.05,499,0.06212424849699399,0.012124248496993985,0.0010359775518245134
1000,M2,F1,0.1,499,0.09218436873747494,0.00781563126252506,0.0015827092682804771
1000,M2,F2,0.01,499,0.04408817635270541,0.03408817635270541,0.00040001287308760703
1000,M2,F2,0.05,499,0.06212424849699399,0.012124248496993985,0.0010651323491458473
1000,M2,F2,0.1,499,0.09218436873747494,0.00781563126252506,0.0016043958641096528
1000,M2,F3,0.01,499,0.04609218436873747,0.03609218436873747,0.00045627866709472685
1000,M2,F3,0.05,499,0.06412825651302605,0.014128256513026044,0.0011290042722023842
1000,M2,F3,0.1,499,0.09819639278557114,0.0018036072144288623,0.0016665235830729
1000,M4,none,0.01,499,0.018036072144288578,0.008036072144288578,0.00029073513815148214
1000,M4,none,0.05,499,0.06012024048096192,0.010120240480961919,0.0009890238872361744
1000,M4,none,0.1,499,0.08817635270541083,0.011823647294589179,0.0015504175019303752
1500,M0,none,0.01,499,0.004008016032064128,0.005991983967935872,0.0003116729571173984
1500,M0,none,0.05,499,0.036072144288577156,0.013927855711422847,0.0011100926303070102
1500,M0,none,0.1,499,0.07214428857715431,0.027855711422845694,0.0017828747028288943
1500,M1,none,0.01,499,0.014028056112224449,0.004028056112224449,0.00028144306707767494
1500,M1,none,0.05,499,0.056112224448897796,0.006112224448897793,0.0009852175178373143
1500,M1,none,0.1,499,0.08216432865731463,0.017835671342685377,0.0015716543241001894
1500,M1_gauss,none,0.01,499,0.028056112224448898,0.018056112224448896,0.0003091325865737977
1500,M1_gauss,none,0.05,499,0.05811623246492986,0.00811623246492986,0.0009960684734306063
1500,M1_gauss,none,0.1,499,0.09418837675350701,0.0058116232464929946,0.0015643670084822237
1500,M2,F0,0.01,499,0.018036072144288578,0.008036072144288578,0.0003170228653082367
1500,M2,F0,0.05,499,0.04609218436873747,0.00390781563126253,0.0009986555132811433
1500,M2,F0,0.1,499,0.08216432865731463,0.017835671342685377,0.0015967279748596843
1500,M2,F1,0.01,499,0.02404809619238477,0.014048096192384769,0.0003028526719749552
1500,M2,F1,0.05,499,0.056112224448897796,0.006112224448897793,0.000983714530420143
1500,M2,F1,0.1,499,0.08016032064128256,0.019839679358717444,0.0015758695072376186
1500,M2,F2,0.01,499,0.02004008016032064,0.01004008016032064,0.0003107910843286261
1500,M2,F2,0.05,499,0.06212424849699399,0.012124248496993985,0.0010072266513780738
1500,M2,F2,0.1,499,0.08216432865731463,0.017835671342685377,0.0015943997832604342
1500,M2,F3,0.01,499,0.026052104208416832,0.01605210420841683,0.00034470976741765813
1500,M2,F3,0.05,499,0.06412825651302605,0.014128256513026044,0.0010226926594164877
1500,M2,F3,0.1,499,0.0781563126252505,0.02184368737474951,0.00158524463237857
1500,M4,none,0.01,499,0.014028056112224449,0.004028056112224449,0.0002858345977979398
1500,M4,none,0.05,499,0.05410821643286573,0.004108216432865727,0.0009782466472322577
1500,M4,none,0.1,499,0.07414829659318638,0.025851703406813628,0.0015657419498589318
